SWSN_ID,SWSN_Site,CSN_macro_group,Mean_Rooms,Size_Class,GH_Count,GK_Count,Dshp_Count,Biwall_Count,Triwall_Count,PubArch,EASTING,NORTHING
3275,Reservoir--Northern San Juan,San Juan Foothills,,,1,1,1,0,0,3,720000,4150000
3361,Rich's Ruin,San Juan Foothills,50,1,0,1,0,0,0,1,690000,4150000
1394,Ridge Ruin,Flagstaff,21,1,1,0,0,0,0,1,470000,3900000
1377,Salina Springs,Black Mesa,75,2,1,0,0,0,0,1,600000,3990000
824,Salmon,Middle San Juan,300,3,1,2,0,0,0,3,770000,4070000
3280,Sambrito Village,Middle San Juan,,,0,1,0,0,0,1,820000,4100000
3403,San Juan Biwall,Middle San Juan,,,0,1,0,1,0,2,690000,4080000
3281,San Mateo,Lobo Mesa,112,2,1,2,0,0,0,3,800000,3920000
3356,Sand Canyon Pueblo,San Juan Foothills,530,4,0,1,1,0,0,2,700000,4140000
3283,Sanders GH,Rio Puerco of the West,40,1,1,1,0,0,0,2,650000,3900000
3284,Sanostee,Central San Juan Basin,16,1,1,2,0,0,0,3,720000,4040000
1256,Seven Springs,Hardscrabble/ULC,175,2,0,1,0,0,0,1,640000,3850000
3359,Seven Towers,San Juan Foothills,175,2,0,1,2,0,0,3,680000,4150000
3420,Shields Pueblo,San Juan Foothills,,,1,0,0,0,0,1,700000,4140000
3286,Singing Shelter,San Juan Foothills,,,0,1,0,0,0,1,720000,4160000
3287,Skull Site,Acoma,10,1,1,1,0,0,0,2,780000,3850000
750,Skunk Springs,Chuska Slope,67.5,1,1,2,0,0,0,3,700000,4010000
2856,South Ruin,Cibola,40,1,0,1,0,0,0,1,740000,3880000
1316,Spier 81,Cibola,,,1,1,0,0,0,2,710000,3890000
3289,Springstead,Rio Puerco of the West,10,1,0,1,0,0,0,1,720000,3940000
3290,Squaw Springs,Middle San Juan,23,1,1,2,0,0,0,3,730000,4080000
3291,Standing Rock,Central San Juan Basin,36,1,1,1,0,0,0,2,730000,3970000
2790,Sterling ,Middle San Juan,,,1,0,0,0,0,1,760000,4070000
3292,Sundown,Rio Puerco of the West,8,1,0,1,0,0,0,1,580000,3870000
3294,Teec Nos Pos,Middle San Juan,28,1,1,1,0,0,0,2,670000,4090000
3296,The Twins Northeast,Chuska Slope,2,1,1,1,0,0,0,2,710000,3960000
3301,Tla Kii,Silver Creek,20,1,0,1,0,0,0,1,580000,3780000
3302,Tocito North,Chuska Slope,,,1,0,0,0,0,1,700000,4030000
3303,Tocito South,Chuska Slope,,,1,0,0,0,0,1,700000,4030000
3304,Toh La Kai,Chuska Slope,18,1,1,1,0,0,0,2,700000,3950000
1098,Tom's Rock,Mariana Mesa/Quemado,100,2,1,1,0,0,0,2,750000,3820000
3305,Toyee,Defiance Plateau,9,1,1,1,0,0,0,2,600000,3960000
3306,Tse Bee Kintsoh,Lobo Mesa,30,1,1,4,0,0,0,4+,760000,3920000
