"SWSN_ID","Site","Type","unapportioned","P800","P825","P850","P875","P900","P925","P950","P975","P1000","P1025","P1050","P1075","P1100","P1125","P1150","P1175","P1200","P1225","P1250","P1275"
"38","708","Aztec","Hunter Corrugated","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0968","0.2018","0.3293","0.4206","0.4206","0.3293","0.2018","0"
"39","708","Aztec","Kayenta Polychrome","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"40","708","Aztec","Mancos Black-on-white","0","0","0","0","0","0","0","0","0","0","0","107.3734","112.762","92.7036","59.6606","30.0546","3.4458","0","0","0","0"
"41","708","Aztec","Mancos Corrugated","0","0","0","0","0","0","0","0","0","0","0","0.3137","0.2711","0.2024","0.1306","0.0728","0.0094","0","0","0","0"
"42","708","Aztec","Mancos Gray","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"43","708","Aztec","McElmo Black-on-white","0","0","0","0","0","0","0","0","0","0","0","25.3008","81.7687","147.1678","207.3398","228.6731","197.4313","133.4372","70.5954","15.286","0"
"44","708","Aztec","McElmo/Mesa Verde Black-on-white","0","0","0","0","0","0","0","0","0","0","0","2.4207","7.4607","13.1722","18.9895","22.3344","21.4499","16.8069","10.7514","5.6144","0"
"45","708","Aztec","Medicine Black-on-red","0","0","0","0","0","0","0","0","0","0","0","0.7119","1.3998","1.5664","0.9982","0.3237","0","0","0","0","0"
"46","708","Aztec","Mesa Verde Black-on-white","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","225.9639","748.1679","899.269","430.5991","0"
"47","708","Aztec","Mesa Verde Corrugated Gray Ware, Undifferentiated","0","0","0","0","0","0","0","0","0","0","0","0.296","0.3195","0.3195","0.296","0.2538","0.2017","0.1484","0.1012","0.0639","0"
"48","708","Aztec","Mimbres Style III Black-on-white (Classic)","0","0","0","0","0","0","0","0","0","0","0","0.4328","0.3796","0.1729","0.0147","0","0","0","0","0","0"
"49","708","Aztec","Mogollon Patterned Corrugated Brown Ware","0","0","0","0","0","0","0","0","0","0","0","0.1099","0.15","0.1924","0.2319","0.2626","0.2794","0.2794","0.2626","0.2319","0"
"50","708","Aztec","Mogollon Plain Brown Ware, Smudged","0","0","0","0","0","0","0","0","0","0","0","0.312","0.2897","0.2667","0.2436","0.2206","0.1981","0.1765","0.1559","0.1368","0"
