"Site","P_900","DOG_900","BM_900","M_900","DOG_P_900","BM_P_900","DOG_R_900","EV_900","P_950","DOG_950","BM_950","M_950","DOG_P_950","BM_P_950","DOG_R_950","EV_950","P_1000","DOG_1000","BM_1000","M_1000","DOG_P_1000","BM_P_1000","DOG_R_1000","EV_1000","P_1050","DOG_1050","BM_1050","M_1050","DOG_P_1050","BM_P_1050","DOG_R_1050","EV_1050","P_1100","DOG_1100","BM_1100","M_1100","DOG_P_1100","BM_P_1100","DOG_R_1100","EV_1100","P_1150","DOG_1150","BM_1150","M_1150","DOG_P_1150","BM_P_1150","DOG_R_1150","EV_1150","SWSN_ID","CSN_macro_group","Mean_Rooms","Size_Class","GH_Count","GK_Count","Dshp_Count","Biwall_Count","Triwall_Count","PubArch","EASTING","NORTHING"
"Fort Wingate",47.2441,0,47.1073,0,0,0.99710440033782,0,1.35786083269417,62.0043,0,61.8167,0,0,0.996974403388152,0,1.47223397235366,28.3803,0.1012,18.937,0,0.00356585377885364,0.667258626582524,0.00356585377885364,1.28704116640502,16.349,2.3403,0,0,0.143146369808551,0,0.143146369808551,1.09049343838153,14.8349,2.5587,0,0,0.172478412392399,0,0.172478412392399,0.550913576043142,0,0,0,0,NA,NA,NA,NA,734,"Rio Puerco of the West",100,2,1,1,0,0,0,"2",730000,3930000
"FSOP02 Great Kiva",0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,57.6833,0,0,0,0,0,0,0.624346532455363,83.9237,0,0,0,0,0,0,0.719315926841998,2982,"Cibola",50,1,0,1,0,0,0,"1",720000,3870000
"Ganado",0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,88.5219,4.1201,76.346,0,0.0465432847690797,0.862453246032903,0.0465432847690797,0.409379518588902,137.346,91.0625,32.654,0,0.663015304413671,0.237749916269859,0.663015304413671,1.11900755852484,99.1319,79.8172,0,0,0.805161607918339,0,0.805161607918339,1.34078022704046,0,0,0,0,NA,NA,NA,NA,3109,"Defiance Plateau",16,1,1,1,0,0,0,"2",630000,3950000
"Garcia Ranch",0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,210.3833,0,0,0,0,0,0,0.901135211514582,1240,"Hardscrabble/ULC",150,2,1,1,0,0,0,"2",670000,3820000
"Garcia Ranch Bench",7.1092,0,2.6007,0,0,0.365821752095876,0,NA,8.2998,0,8.2998,0,0,1,0,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,3111,"Hardscrabble/ULC",36,1,0,1,0,0,0,"1",670000,3820000
"Gillentine Site",0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,6.5376,5.8512,0,4.7258,0.895007342143906,0,0.461288546255507,NA,10.5142,7.081,0,5.2064,0.673470164158947,0,0.376363394266801,0.618727013418467,2.9485,1.068,0,1.068,0.362218076988299,0,0.14488723079532,NA,3401,"Middle San Juan",NA,NA,0,2,0,0,0,"2",760000,4080000
"Goesling",0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,50.8613,0,0,0,0,0,0,0.762261579900686,1099,"Hardscrabble/ULC",200,2,1,1,0,0,0,"2",680000,3810000
"Goodman Point",0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,42.9459,20,0,20,0.465702197415818,0,0.186280878966327,0.96096545166582,3114,"San Juan Foothills",500,3,1,1,0,0,0,"2",700000,4140000
"Gravel Pit Ruin",7.1163,0,1.9346,0,0,0.271854755982744,0,NA,3.6845,0,1.9672,0,0,0.533912335459357,0,NA,1.9189,0,1.2362,0,0,0.64422325290531,0,NA,1.2309,0,0.0695,0,0,0.056462750832724,0,NA,1.3751,0,0,0,0,0,0,NA,1.7114,0,0,0,0,0,0,NA,3344,"Southeast Utah",20,1,0,1,0,0,0,"1",640000,4140000
"Greasewood Flat",0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,7.5257,0,0,0,0,0,0,NA,3116,"Southeast Utah",NA,NA,1,1,0,0,0,"2",650000,4130000
