"SWSN_ID","Site","Type","unapportioned","X665.P800","X665.P825","X665.P850","X665.P875","X665.P900","X665.P925","X665.P950","X665.P975","X665.P1000","X665.P1025","X665.P1050","X665.P1075","X665.P1100","X665.P1125","X665.P1150","X665.P1175","X665.P1200","X665.P1225","X665.P1250","X665.P1275"
"38","708","Aztec","Hunter Corrugated","0",0,0,0,0,0,0,0,0,0,0,0,0,0.0833,0.1887,0.3645,0.4724,0.3759,0.2802,0.2354,0
"39","708","Aztec","Kayenta Polychrome","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"40","708","Aztec","Mancos Black-on-white","0",0,0,0,0,0,0,0,0,0,0,74.6646,110.1579,102.1645,71.4537,42.6029,4.9563,0,0,0,0
"41","708","Aztec","Mancos Corrugated","0",0,0,0,0,0,0,0,0,0,0,0.2228,0.2705,0.2278,0.1597,0.1054,0.0138,0,0,0,0
"42","708","Aztec","Mancos Gray","0",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"43","708","Aztec","McElmo Black-on-white","0",0,0,0,0,0,0,0,0,0,0,14.2307,64.612,131.1865,200.8597,262.1902,229.6954,123.5387,62.2185,18.4684,0
"44","708","Aztec","McElmo/Mesa Verde Black-on-white","0",0,0,0,0,0,0,0,0,0,0,1.3527,5.8571,11.6656,18.2767,25.4419,24.7934,15.4592,9.4142,6.7393,0
"45","708","Aztec","Medicine Black-on-red","0",0,0,0,0,0,0,0,0,0,0,0.4721,1.3041,1.6462,1.1401,0.4376,0,0,0,0,0
"46","708","Aztec","Mesa Verde Black-on-white","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267.0207,703.5495,805.0112,528.4185,0
"47","708","Aztec","Mesa Verde Corrugated Gray Ware, Undifferentiated","0",0,0,0,0,0,0,0,0,0,0,0.183,0.2774,0.313,0.3151,0.3198,0.2579,0.151,0.098,0.0848,0
"48","708","Aztec","Mimbres Style III Black-on-white (Classic)","0",0,0,0,0,0,0,0,0,0,0,0.342,0.4214,0.2165,0.02,0,0,0,0,0,0
"49","708","Aztec","Mogollon Patterned Corrugated Brown Ware","0",0,0,0,0,0,0,0,0,0,0,0.0627,0.1202,0.1739,0.2277,0.3052,0.3295,0.2622,0.2346,0.284,0
"50","708","Aztec","Mogollon Plain Brown Ware, Smudged","0",0,0,0,0,0,0,0,0,0,0,0.192,0.2505,0.2601,0.2582,0.2768,0.2522,0.1788,0.1504,0.1809,0
"51","708","Aztec","Mudware, Undifferentiated","0",0,0,0,0,0,0,0,0,0,0,0.1916,0.251,0.2614,0.2596,0.278,0.2528,0.1784,0.1492,0.1778,0
"52","708","Aztec","Nava Black-on-white","0",0,0,0,0,0,0,0,0,0,0,0,0,1.5947,3.8369,7.3132,8.6983,5.9052,3.4907,2.1614,0
"53","708","Aztec","PII Gray Rim, Type Undifferentiated","0",0,0,0,0,0,0,0,0,0,0,14.338,9.662,0,0,0,0,0,0,0,0
"54","708","Aztec","PII/PIII Gray Rim, Type Undifferentiated","0",0,0,0,0,0,0,0,0,0,0,14.5156,21.7007,24.4807,25.0009,26.1301,22.0023,13.6536,9.5247,8.9914,0
"55","708","Aztec","PIII Gray Rim, Type Undifferentiated","0",0,0,0,0,0,0,0,0,0,0,0,0,0.6246,1.415,2.7331,3.5425,2.819,2.1008,1.7648,0
"56","708","Aztec","Plain Brown Smudged, Undifferentiated","0",0,0,0,0,0,0,0,0,0,0,0.0896,0.1193,0.1262,0.1276,0.1393,0.1289,0.093,0.0793,0.0966,0
"57","708","Aztec","Plain Brown Ware, Undifferentiated","0",0,0,0,0,0,0,0,0,0,0,2.6881,3.5802,3.7866,3.8274,4.1795,3.8693,2.7898,2.3795,2.8996,0
"58","708","Aztec","Plain Gray Ware, Undifferentiated","0",0,0,0,0,0,0,0,0,0,0,20.2228,25.4705,25.3613,23.9503,24.2511,20.7263,13.6768,10.6292,11.7116,0
"59","708","Aztec","Polacca Black-on-white","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1576,0.4016,0.3196,0.1212,0,0
"60","708","Aztec","Polychrome, Undifferentiated","0",0,0,0,0,0,0,0,0,0,0,0.1609,0.2407,0.2874,0.3275,0.404,0.4249,0.3473,0.3376,0.4698,0
"61","708","Aztec","Puerco Black-on-red","0",0,0,0,0,0,0,0,0,0,0,24.009,39.5367,38.0504,25.6773,13.7265,0,0,0,0,0
"62","708","Aztec","Puerco Black-on-white","0",0,0,0,0,0,0,0,0,0,0,0.5275,1.2693,1.7517,1.6641,1.2303,0.557,0,0,0,0
