SWSN_Type,SWSN_Ware,Start_Date,End_Date,Dogoszhi,Black Mesa,Include,Decoration
Pinto-Gila Black-on-red,Roosevelt Red Ware,1275,1375,0,0,1,bichrome
"Roosevelt Black-on-red, Undifferentiated",Roosevelt Red Ware,1275,1375,0,0,2,bichrome
"Roosevelt White-on-red, Undifferentiated",Roosevelt Red Ware,1300,1350,0,0,2,bichrome
Cliff Polychrome,Roosevelt Red Ware,1350,1450,0,0,1,polychrome
"Cliff Polychrome, Corrugated",Roosevelt Red Ware,1350,1450,0,0,1,polychrome
Cliff/Nine-mile Polychrome,Roosevelt Red Ware,1350,1450,0,0,1,polychrome
Dinwiddie Polychrome,Roosevelt Red Ware,1350,1450,0,0,1,polychrome
Gila Polychrome,Roosevelt Red Ware,1325,1450,0,0,1,polychrome
Gila/Cliff Polychrome,Roosevelt Red Ware,1325,1450,0,0,1,polychrome
Gila/Tonto Polychrome,Roosevelt Red Ware,1325,1450,0,0,1,polychrome
"Late Roosevelt Polychrome, Undifferentiated",Roosevelt Red Ware,1350,1450,0,0,1,polychrome
Los Muertos Polychrome,Roosevelt Red Ware,1375,1450,0,0,1,polychrome
Ninemile Polychrome,Roosevelt Red Ware,1350,1450,0,0,1,polychrome
Phoenix Polychrome,Roosevelt Red Ware,1350,1450,0,0,1,polychrome
Pinto Black-on-red or Polychrome,Roosevelt Red Ware,1280,1330,0,0,1,polychrome
Pinto Polychrome,Roosevelt Red Ware,1280,1330,0,0,1,polychrome
Pinto/Gila Polychrome,Roosevelt Red Ware,1300,1450,0,0,1,polychrome
Pinto-Gila Polychrome,Roosevelt Red Ware,1300,1350,0,0,1,polychrome
Pinto-Gila Polychrome A,Roosevelt Red Ware,1300,1350,0,0,1,polychrome
Pinto-Gila Polychrome B,Roosevelt Red Ware,1300,1350,0,0,1,polychrome
"Roosevelt Polychrome, Undifferentiated",Roosevelt Red Ware,1280,1450,0,0,1,polychrome
Tonto Polychrome,Roosevelt Red Ware,1350,1450,0,0,1,polychrome
Tonto-Cliff Polychrome,Roosevelt Red Ware,1340,1450,0,0,1,polychrome
Whiteriver Polychrome,Roosevelt Red Ware,1360,1450,0,0,1,polychrome
"Roosevelt Red Ware type, Undifferentiated",Roosevelt Red Ware,1275,1450,0,0,2,undifferentiated
Salado White-on-red,Salado Series,1150,1450,0,0,1,bichrome
San Carlos Red-on-brown,San Carlos Brown Ware,1250,1450,0,0,1,bichrome
San Carlos Red-on-white,San Carlos Brown Ware,1250,1450,0,0,1,bichrome
Deadmans Black-on-gray,San Francisco Mountain Gray Ware,900,1100,0,0,1,bichrome
Floyd Black-on-gray,San Francisco Mountain Gray Ware,700,900,0,0,1,bichrome
Abajo Red-on-orange,San Juan Red Ware,760,880,0,0,1,bichrome
Bluff Black-on-red,San Juan Red Ware,800,925,0,0,1,bichrome
Deadmans (La Plata) Black-on-red,San Juan Red Ware,880,1050,0,1,1,bichrome
Dolores Red,San Juan Red Ware,550,900,0,0,0,plain
McPhee Black-on-red,San Juan Red Ware,800,925,0,0,1,bichrome
"San Juan Black-on-red, Undifferentiated",San Juan Red Ware,700,1050,0,0,2,bichrome
Abajo Polychrome,San Juan Red Ware,850,925,0,0,1,polychrome
"San Juan Red ware, Undifferentiated",San Juan Red Ware,700,1050,0,0,2,undifferentiated dec
Cerros Red-on-white,San Simon Series,800,1000,0,0,1,bichrome
Dos Cabezas Red-on-brown,San Simon Series,650,800,0,0,1,bichrome
Dos Cabezas/Pinaleno Red-on-brown,San Simon Series,650,900,0,0,1,bichrome
Encinas Red-on-brown,San Simon Series,950,1200,0,0,1,bichrome
Encinas Red-on-white,San Simon Series,950,1200,0,0,1,bichrome
Galiuro Red-on-brown,San Simon Series,700,900,0,0,1,bichrome
Galiuro/Encinas Red-on-brown,San Simon Series,700,1200,0,0,1,bichrome
Pinaleno Red-on-brown,San Simon Series,700,800,0,0,1,bichrome
Pinaleno/Galiuro Red-on-brown,San Simon Series,700,900,0,0,1,bichrome
"San Simon Red-on-brown, Undifferentiated",San Simon Series,650,1200,0,0,2,bichrome
Sichomovi Black-on-red,Sichomovi Red Ware,1900,1950,0,0,1,bichrome
Taos Black-on-white,Taos White Ware,1150,1250,0,0,1,bichrome
Lincoln Black-on-red,Three Rivers Red Ware,1300,1400,0,0,1,bichrome
Three Rivers Red-on-terracotta,Three Rivers Red Ware,1125,1300,0,0,1,bichrome
Aquarius Black-on-brown,Tizon Brown Ware,900,1890,0,0,1,bichrome
Cerbat Black-on-brown,Tizon Brown Ware,700,1890,0,0,1,bichrome
Cerbat Red-on-brown,Tizon Brown Ware,700,1890,0,0,1,bichrome
Trincheras Purple-on-red,Trincheras Series,700,1150,0,0,1,bichrome
Nogales Polychrome,Trincheras Series,700,1150,0,0,1,polychrome
Santa Cruz Polychrome,Trincheras Series,1350,1450,0,0,1,polychrome
Trincheras Polychrome,Trincheras Series,700,1150,0,0,1,polychrome
"Trincheras type, Undifferentiated",Trincheras Series,700,1150,0,0,2,undifferentiated dec
Kiet Siel Black-on-red,Tsegi Orange Ware,1250,1320,0,0,1,bichrome
Medicine Black-on-red,Tsegi Orange Ware,1040,1170,0,0,1,bichrome
Medicine/Tusayan Black-on-red,Tsegi Orange Ware,1040,1240,0,0,1,bichrome
Tsegi Black-on-orange,Tsegi Orange Ware,1225,1300,0,0,1,bichrome
"Tsegi Black-on-red, Undifferentiated",Tsegi Orange Ware,1040,1320,0,0,2,bichrome
Tsegi Red-on-orange,Tsegi Orange Ware,1200,1300,0,0,1,bichrome
Tusayan Black-on-red,Tsegi Orange Ware,1045,1240,1,0,1,bichrome
Cameron Polychrome,Tsegi Orange Ware,1040,1170,1,0,1,polychrome
Cameron/Tusayan Polychrome,Tsegi Orange Ware,1040,1320,0,0,1,polychrome
Citadel Polychrome,Tsegi Orange Ware,1040,1200,0,0,1,polychrome
Citadel/Tusayan Polychrome,Tsegi Orange Ware,1040,1320,0,0,1,polychrome
Dogoszhi Polychrome,Tsegi Orange Ware,1040,1320,1,0,1,polychrome
Kayenta Polychrome,Tsegi Orange Ware,1250,1320,0,0,1,polychrome
Kiet Siel Polychrome,Tsegi Orange Ware,1250,1320,0,0,1,polychrome
Tsegi Polychrome,Tsegi Orange Ware,1225,1300,0,0,1,polychrome
"Tsegi Polychrome, Undifferentiated",Tsegi Orange Ware,1040,1320,0,0,2,polychrome
Tusayan A Polychrome,Tsegi Orange Ware,1110,1320,0,0,1,polychrome
Tusayan B Polychrome,Tsegi Orange Ware,1110,1320,0,0,1,polychrome
Tusayan Polychrome,Tsegi Orange Ware,1110,1320,0,0,1,polychrome
Tsegi Orange,Tsegi Orange Ware,1250,1300,0,0,0,undifferentiated dec
"Tsegi Orange Ware, Undifferentiated",Tsegi Orange Ware,1000,1300,0,0,2,undifferentiated dec
Canada del Oro Red-on-brown,Tucson Basin Brown Ware,700,800,0,0,1,bichrome
Cañada del Oro/Rillito Red-on-brown,Tucson Basin Brown Ware,700,950,0,0,1,bichrome
Cañada del Oro/Rillito/Rincon Red-on-brown,Tucson Basin Brown Ware,700,1150,0,0,1,bichrome
Canada del Oro-Gila Butte Red-on-brown,Tucson Basin Brown Ware,700,850,0,0,1,bichrome
Gila Butte-Canada del Oro style Red-on-brown,Tucson Basin Brown Ware,700,850,0,0,1,bichrome
Rillito Red-on-brown,Tucson Basin Brown Ware,800,950,0,0,1,bichrome
"Rillito Red-on-brown, White Slip",Tucson Basin Brown Ware,800,950,0,0,1,bichrome
Rillito/Rincon Red-on-brown,Tucson Basin Brown Ware,800,1150,0,0,1,bichrome
"Rillito/Rincon Red-on-brown, White Slip",Tucson Basin Brown Ware,800,1150,0,0,1,bichrome
Rincon Red-on-brown,Tucson Basin Brown Ware,950,1150,0,0,1,bichrome
"Rincon Red-on-brown, White Slip",Tucson Basin Brown Ware,950,1150,0,0,1,bichrome
Rincon/Tanque Verde Red-on-brown,Tucson Basin Brown Ware,950,1350,0,0,1,bichrome
"Rincon/Tanque Verde Red-on-brown, White Slip",Tucson Basin Brown Ware,950,1350,0,0,1,bichrome
Sacaton-Rincon style Red-on-brown,Tucson Basin Brown Ware,950,1150,0,0,1,bichrome
Snaketown style Red-on-brown,Tucson Basin Brown Ware,700,750,0,0,1,bichrome
Sweetwater style Red-on-brown,Tucson Basin Brown Ware,600,700,0,0,1,bichrome
Tanque Verde Black-on-brown,Tucson Basin Brown Ware,1150,1350,0,0,1,bichrome
Tanque Verde Black-on-white,Tucson Basin Brown Ware,1150,1350,0,0,1,bichrome
Tanque Verde Red-on-brown,Tucson Basin Brown Ware,1150,1350,0,0,1,bichrome
"Tanque Verde Red-on-brown, White Slip",Tucson Basin Brown Ware,1150,1350,0,0,1,bichrome
"Tucson Basin Brown Ware, Undifferentiated",Tucson Basin Brown Ware,700,1350,0,0,2,bichrome
"Tucson Basin Red-on-brown, Undifferentiated",Tucson Basin Brown Ware,700,1350,0,0,2,bichrome
Rincon Polychrome,Tucson Basin Brown Ware,1000,1100,0,0,1,polychrome
Rio Rico Polychrome,Tucson Basin Brown Ware,850,1000,0,0,1,polychrome
Tanque Verde Polychrome,Tucson Basin Brown Ware,1150,1300,0,0,1,polychrome
Lino Black-on-gray (Tusayan),Tusayan Gray Ware,550,850,0,0,1,bichrome
Lino Gray (Tusayan),Tusayan Gray Ware,550,950,0,0,0,plain
Lino Gray Fugitive Red [Tusayan Series],Tusayan Gray Ware,600,880,0,0,0,plain
Lino/Kana-a Gray,Tusayan Gray Ware,550,1050,0,0,0,plain
Obelisk Gray,Tusayan Gray Ware,450,800,0,0,0,plain
Betatakin Black-on-white,Tusayan White Ware,1260,1300,0,0,1,bichrome
Black Mesa Black-on-white,Tusayan White Ware,900,1100,0,1,1,bichrome
Black Mesa/Flagstaff Black-on-white,Tusayan White Ware,1000,1220,0,0,1,bichrome
Black Mesa/Sosi Black-on-white,Tusayan White Ware,1000,1180,0,0,1,bichrome
Dogoszhi Black-on-white,Tusayan White Ware,1040,1210,1,0,1,bichrome
Flagstaff Black-on-white,Tusayan White Ware,1150,1220,0,0,1,bichrome
Kana-a Black-on-white,Tusayan White Ware,825,1000,0,0,1,bichrome
Kana-a/Black Mesa Black-on-white,Tusayan White Ware,800,1100,0,0,1,bichrome
Kayenta Black-on-white,Tusayan White Ware,1250,1300,0,0,1,bichrome
Lino/Kana'a Black-on-White,Tusayan White Ware,550,1050,0,0,1,bichrome
Shato Black-on-white,Tusayan White Ware,1080,1130,0,0,1,bichrome
Sosi Black-on-white,Tusayan White Ware,1070,1180,0,0,1,bichrome
Sosi/Dogozhi Black-on-white,Tusayan White Ware,1040,1210,0,0,1,bichrome
Tusayan Black-on-white,Tusayan White Ware,1200,1300,0,0,1,bichrome
"Tusayan BMIII/PI White Ware, Type Undifferentiated",Tusayan White Ware,600,900,0,0,2,bichrome
"Tusayan PI White Ware, Type Undifferentiated",Tusayan White Ware,800,900,0,0,2,bichrome
"Tusayan PI/PII White Ware, Type Undifferentiated",Tusayan White Ware,800,1100,0,0,2,bichrome
"Tusayan PII White Ware, Type Undifferentiated",Tusayan White Ware,900,1100,0,0,2,bichrome
"Tusayan PII/PIII White Ware, Type Undifferentiated",Tusayan White Ware,900,1300,0,0,2,bichrome
"Tusayan PIII White Ware, Type Undifferentiated",Tusayan White Ware,1100,1300,0,0,2,bichrome
"Tusayan White Ware, Undifferentiated",Tusayan White Ware,825,1300,0,0,2,bichrome
Tusayan/Kayenta Black-on-white,Tusayan White Ware,1200,1300,0,0,1,bichrome
Wepo Black-on-white,Tusayan White Ware,930,1050,0,0,1,bichrome
Wupatki Black-on-white,Tusayan White Ware,1125,1300,0,0,1,bichrome
"Painted Corrugated Ware, Undifferentiated",Undifferentiated Brown Ware,1000,1450,0,0,0,bichrome
"Buff Ware, Undifferentiated",Undifferentiated Buff Ware,300,1450,0,0,0,undifferentiated
"Black-on-gray, Undifferentiated",Undifferentiated Decorated,550,1300,0,0,0,bichrome
"Decorated Brown Ware type, Undifferentiated",Undifferentiated Decorated,700,1450,0,0,0,undifferentiated dec
"Decorated Type, Undifferentiated",Undifferentiated Decorated,300,1900,0,0,0,undifferentiated dec
"Glaze-on-red, Undifferentiated",Undifferentiated Glaze Ware,1313,1700,0,0,0,bichrome
"Glaze-on-yellow, Undifferentiated",Undifferentiated Glaze Ware,1321,1700,0,0,0,bichrome
"Glaze Polychrome, Undifferentiated",Undifferentiated Glaze Ware,1313,1700,0,0,0,polychrome
"Early Middle Gila Red-on-brown variant, Undifferentiated",Undifferentiated Middle Gila Red-on-brown variants,700,1150,0,0,0,bichrome
"Late Middle Gila Red-on-brown variant, Undifferentiated",Undifferentiated Middle Gila Red-on-brown variants,1150,1350,0,0,0,bichrome
"Middle Gila Red-on-brown variant, Undifferentiated",Undifferentiated Middle Gila Red-on-brown variants,700,1350,0,0,0,bichrome
"Black-on-orange, Undifferentiated",Undifferentiated Orange Ware,1000,1350,0,0,0,bichrome
"Orange Ware, Undifferentiated",Undifferentiated Orange Ware,1000,1350,0,0,0,undifferentiated
"Historic Polychrome, Undifferentiated",Undifferentiated Polychrome,1600,1900,0,0,0,polychrome
"Polychrome, Undifferentiated",Undifferentiated Polychrome,700,1900,0,0,0,polychrome
"Black-on-red, Undifferentiated",Undifferentiated Red Ware,700,1700,0,0,0,bichrome
"White-on-red, Undifferentiated",Undifferentiated Red Ware,1065,1450,0,0,0,bichrome
"Red Ware type, Undifferentiated",Undifferentiated Red Ware,700,1700,0,0,0,undifferentiated
"Red-on-brown, Undifferentiated",Undifferentiated Red-on-brown,700,1450,0,0,0,bichrome
"Type, Undifferentiated",Undifferentiated Ware,200,1900,0,0,0,undifferentiated
"Undecorated Type, Undifferentiated",Undifferentiated Ware,200,1900,0,0,0,undifferentiated
"BMIII/PI White Ware, Type Undifferentiated",Undifferentiated White Ware,550,900,0,0,0,bichrome
"PI White Ware, Type Undifferentiated",Undifferentiated White Ware,700,900,0,0,0,bichrome
"PI/PII White Ware, Type Undifferentiated",Undifferentiated White Ware,700,1100,0,0,0,bichrome
"PII White Ware, Type Undifferentiated",Undifferentiated White Ware,900,1100,0,0,0,bichrome
"PII/PIII White Ware, Type Undifferentiated",Undifferentiated White Ware,900,1300,0,0,0,bichrome
"PIII White Ware, Type Undifferentiated",Undifferentiated White Ware,1100,1300,0,0,0,bichrome
"Red-on-white, Undifferentiated",Undifferentiated White Ware,800,1450,0,0,0,bichrome
"White ware, Undifferentiated",Undifferentiated White Ware,550,1900,0,0,0,bichrome
Arboles Black-on-white,Upper San Juan White Ware,950,1050,0,0,1,bichrome
Bancos Black-on-white,Upper San Juan White Ware,825,1000,0,0,1,bichrome
Gallina Black-on-white,Upper San Juan White Ware,1050,1300,0,0,1,bichrome
Rosa Black-on-white,Upper San Juan White Ware,700,875,0,0,1,bichrome
"Upper San Juan White Ware, Undifferentiated",Upper San Juan White Ware,700,1300,0,0,2,bichrome
"White Mountain type, undifferentiated",White Mountain Red Ware,1000,1450,0,0,2,undifferentiated dec
Chavez Pass Black-on-red,Winslow Orange Ware,1275,1350,0,0,1,bichrome
Homolovi Black-on-red,Winslow Orange Ware,1300,1400,0,0,1,bichrome
Tuwiuca Black-on-orange,Winslow Orange Ware,1250,1300,0,0,1,bichrome
Tuwiuca White-on-Red,Winslow Orange Ware,1250,1300,0,0,1,bichrome
Black Ax Polychrome,Winslow Orange Ware,1300,1400,0,0,1,polychrome
Chavez Pass Polychrome,Winslow Orange Ware,1300,1400,0,0,1,polychrome
Homolovi Polychrome,Winslow Orange Ware,1300,1400,0,0,1,polychrome
"Winslow Polychrome, Undifferentiated",Winslow Orange Ware,1300,1400,0,0,2,polychrome
"Winslow Orange Ware, Petrified Forest, Undifferentiated",Winslow Orange Ware,1250,1400,0,0,2,undifferentiated
"Winslow Orange Ware, Undifferentiated",Winslow Orange Ware,1250,1400,0,0,2,undifferentiated
"Winslow Black-on-Orange or Polychrome, Petrified Forest, Undifferentiated",Winslow Orange Ware,1250,1400,0,0,2,undifferentiated dec
Heshotauthla Black-on-red,Zuni Glaze Ware,1275,1450,0,0,1,bichrome
Pinnawa Glaze-on-white,Zuni Glaze Ware,1350,1450,0,0,1,bichrome
Pinnawa Red-on-white,Zuni Glaze Ware,1325,1450,0,0,1,bichrome
"Zuni Glaze Ware, Undifferentiated",Zuni Glaze Ware,1275,1450,0,0,2,bichrome
Heshotauthla Black-on-red or Polychrome,Zuni Glaze Ware,1275,1450,0,0,1,polychrome
Heshotauthla Polychrome,Zuni Glaze Ware,1275,1450,0,0,1,polychrome
Kechipawan Polychrome,Zuni Glaze Ware,1370,1450,0,0,1,polychrome
Kwakina Polychrome,Zuni Glaze Ware,1280,1450,0,0,1,polychrome
"White Mountain type, Undifferentiated; Zuni Glaze",Zuni Glaze Ware,1275,1450,0,0,2,undifferentiated dec
"Zuni Historic Black-on-red, Undifferentiated",Zuni Matte-Paint Ware,1680,1900,0,0,2,bichrome
Ashiwi Polychrome,Zuni Matte-Paint Ware,1680,1750,0,0,1,polychrome
"Historic Zuni type, Undifferentiated",Zuni Matte-Paint Ware,1680,1900,0,0,2,polychrome
Kiapkwa Polychrome,Zuni Matte-Paint Ware,1770,1800,0,0,1,polychrome
"Zuni Historic Polychrome, Undifferentiated",Zuni Matte-Paint Ware,1680,1900,0,0,2,polychrome
Zuni Late Historic Polychrome,Zuni Matte-Paint Ware,1800,1900,0,0,1,polychrome
Unnamed White-on-red,Zuni Red Ware,1375,1450,0,0,1,bichrome
